Post Date,Post Type,Campaign Type,Hashtags,Audience Emotion,Engagement Source,Impressions,Reach,Likes,Comments,Shares,Saves,Profile Visits,Follows
2025-03-22,Story,Giveaway,#CrueltyFree,Inspired,Influencer,11966,9994,1155,84,113,100,443,88
2024-04-21,Image,Influencer Collab,"#MakeupGoals, #BoldLooks",Happy,Influencer,5777,5129,625,43,35,50,95,33
2025-02-07,Story,Influencer Collab,#MakeupGoals,Confident,Collab,22699,20308,1804,201,131,56,310,151
2025-02-26,Image,Product Launch,"#MakeupGoals, #CrueltyFree",Excited,Paid,47185,33644,7032,637,348,184,370,179
2024-06-20,Video,Giveaway,#SugarCosmetics,Happy,Organic,2150,1813,238,18,5,9,57,21
2025-01-15,Video,Product Launch,"#MakeupGoals, #CrueltyFree, #VeganBeauty",Curious,Influencer,46543,43150,7665,977,529,420,1691,201
2024-09-30,Reel,Product Launch,"#BoldLooks, #MakeupGoals",Curious,Collab,2679,1756,130,13,2,3,39,19
2024-08-29,Reel,Festive Offer,"#VeganBeauty, #MakeupGoals, #SugarCosmetics",Confident,Organic,30124,23073,1605,198,84,54,631,163
2024-08-05,Video,Product Launch,"#SugarCosmetics, #BoldLooks, #CrueltyFree",Confident,Influencer,24049,22418,5096,454,57,482,673,212
2024-06-18,Reel,Giveaway,"#BoldLooks, #SugarCosmetics",Excited,Collab,17364,11408,731,106,9,48,543,179
2024-07-11,Reel,Tutorial,#MakeupGoals,Confident,Collab,7833,6271,474,81,39,33,268,96
2025-02-09,Image,Product Launch,"#BoldLooks, #CrueltyFree, #SugarCosmetics",Happy,Paid,18450,12334,787,51,9,21,460,59
2024-08-27,Reel,Tutorial,#VeganBeauty,Excited,Influencer,26351,19365,3608,364,120,215,730,174
2024-05-28,Reel,Giveaway,"#SugarCosmetics, #VeganBeauty",Excited,Organic,12338,11191,2204,375,77,75,447,188
2024-05-25,Story,Giveaway,"#VeganBeauty, #BoldLooks, #MakeupGoals",Curious,Collab,49816,42646,3221,281,200,287,1384,270
2024-09-13,Story,Product Launch,"#CrueltyFree, #VeganBeauty",Inspired,Organic,21150,18248,3666,240,334,221,785,178
2024-05-26,Story,Festive Offer,"#SugarCosmetics, #CrueltyFree, #MakeupGoals",Happy,Collab,1698,1078,65,12,5,3,52,19
2024-09-05,Video,Product Launch,#SugarCosmetics,Curious,Organic,33307,26669,4703,551,171,217,984,394
2025-03-14,Video,Giveaway,"#SugarCosmetics, #BoldLooks, #CrueltyFree",Confident,Paid,2167,1899,129,16,1,8,52,23
2024-08-30,Story,Tutorial,"#VeganBeauty, #MakeupGoals, #CrueltyFree",Confident,Organic,38098,32270,7865,1204,671,702,1405,379
2024-12-09,Image,Influencer Collab,"#CrueltyFree, #BoldLooks",Happy,Organic,40081,29612,6762,486,380,261,984,438
2024-07-30,Image,Giveaway,#BoldLooks,Confident,Collab,18749,16583,3970,785,308,198,221,90
2025-02-26,Video,Festive Offer,#SugarCosmetics,Confident,Organic,39069,33082,3299,328,161,132,867,284
2024-05-06,Video,Festive Offer,#SugarCosmetics,Confident,Influencer,31355,20116,1478,217,114,98,975,243
2025-01-27,Reel,Product Launch,"#SugarCosmetics, #VeganBeauty",Excited,Collab,29016,18251,2841,327,233,279,588,134
2024-10-14,Image,Tutorial,"#SugarCosmetics, #CrueltyFree",Curious,Organic,21559,16917,4205,256,251,410,523,183
2024-11-13,Reel,Tutorial,#MakeupGoals,Inspired,Collab,39413,27710,6904,1066,307,545,1291,624
2024-06-06,Story,Festive Offer,"#VeganBeauty, #BoldLooks",Happy,Paid,12023,10960,1546,221,54,54,312,75
2025-04-12,Video,Festive Offer,"#VeganBeauty, #SugarCosmetics",Happy,Collab,32921,22816,2785,247,141,62,483,127
2024-09-13,Reel,Festive Offer,"#CrueltyFree, #SugarCosmetics, #VeganBeauty",Curious,Influencer,36547,25394,1946,119,184,103,844,394
2024-05-19,Video,Product Launch,"#BoldLooks, #VeganBeauty, #CrueltyFree",Inspired,Influencer,1009,934,208,11,2,10,39,19
2024-11-19,Image,Giveaway,"#CrueltyFree, #MakeupGoals",Curious,Influencer,48280,35334,7063,769,597,462,443,50
2024-08-11,Video,Giveaway,"#MakeupGoals, #VeganBeauty, #SugarCosmetics",Curious,Collab,9702,6749,413,74,34,41,336,108
2025-03-07,Reel,Product Launch,"#BoldLooks, #SugarCosmetics",Confident,Collab,24524,20946,4218,449,133,153,420,88
2024-12-19,Reel,Tutorial,"#MakeupGoals, #CrueltyFree, #SugarCosmetics",Curious,Paid,22949,20823,4193,239,143,91,623,180
2024-12-15,Video,Tutorial,"#BoldLooks, #MakeupGoals",Curious,Organic,29538,20904,4458,870,80,371,702,204
2025-03-29,Video,Influencer Collab,#MakeupGoals,Excited,Paid,16254,14048,2445,380,71,75,148,35
2025-03-19,Reel,Product Launch,"#VeganBeauty, #BoldLooks, #SugarCosmetics",Confident,Influencer,9017,6648,914,169,37,55,274,70
2024-09-06,Video,Tutorial,"#CrueltyFree, #BoldLooks, #SugarCosmetics",Excited,Influencer,5854,4585,868,147,44,75,186,23
2024-11-29,Video,Giveaway,#MakeupGoals,Inspired,Influencer,37932,35770,5312,527,355,208,466,70
2024-07-02,Story,Festive Offer,"#BoldLooks, #SugarCosmetics, #CrueltyFree",Confident,Organic,41118,33086,4303,665,112,325,875,393
2025-01-17,Reel,Giveaway,#BoldLooks,Excited,Collab,34434,28705,2424,191,33,81,606,103
2024-05-16,Image,Giveaway,"#BoldLooks, #SugarCosmetics",Excited,Paid,14716,11655,1828,189,165,55,270,61
2024-05-07,Image,Festive Offer,"#BoldLooks, #CrueltyFree, #VeganBeauty",Inspired,Organic,24321,21397,3756,233,332,351,266,56
2025-01-01,Reel,Giveaway,#VeganBeauty,Curious,Influencer,14568,9171,1554,307,90,145,178,71
2024-07-16,Image,Product Launch,#VeganBeauty,Confident,Influencer,3125,2380,474,26,15,36,109,33
2025-02-13,Story,Giveaway,#BoldLooks,Happy,Influencer,39638,24205,5408,557,247,153,956,165
2024-08-09,Story,Tutorial,"#BoldLooks, #SugarCosmetics",Curious,Organic,2062,1469,135,13,2,12,49,18
2024-05-20,Video,Giveaway,"#SugarCosmetics, #CrueltyFree, #BoldLooks",Curious,Collab,9258,7657,1117,153,85,72,256,83
2025-03-17,Image,Festive Offer,"#CrueltyFree, #VeganBeauty",Happy,Influencer,16913,11827,1450,212,88,70,584,199
2024-07-18,Story,Influencer Collab,#SugarCosmetics,Happy,Influencer,28285,19201,2363,291,204,63,810,99
2025-03-21,Video,Product Launch,"#VeganBeauty, #MakeupGoals",Curious,Collab,14046,8681,465,71,46,42,286,133
2024-05-28,Story,Product Launch,"#SugarCosmetics, #VeganBeauty",Curious,Influencer,23350,20687,2101,158,147,198,667,219
2024-09-13,Story,Product Launch,#BoldLooks,Happy,Collab,47514,42453,3863,754,285,138,1674,522
2024-08-05,Reel,Influencer Collab,#BoldLooks,Confident,Paid,3048,2480,267,36,6,15,77,9
2024-10-12,Reel,Product Launch,"#VeganBeauty, #BoldLooks",Excited,Collab,46745,35479,5666,749,159,423,479,74
2024-12-22,Video,Festive Offer,"#BoldLooks, #SugarCosmetics, #VeganBeauty",Happy,Paid,44336,38398,6494,784,305,311,1811,782
2025-03-09,Video,Festive Offer,#MakeupGoals,Curious,Paid,1235,917,216,42,6,10,43,16
2024-09-07,Reel,Giveaway,"#BoldLooks, #CrueltyFree, #SugarCosmetics",Curious,Paid,6951,6071,1308,212,107,112,105,20
2024-06-21,Image,Tutorial,#CrueltyFree,Curious,Organic,1077,843,102,18,4,8,23,5
2024-09-09,Reel,Tutorial,#BoldLooks,Excited,Organic,12954,10602,1674,193,103,81,272,85
2024-09-04,Image,Influencer Collab,"#BoldLooks, #MakeupGoals",Inspired,Paid,37455,25475,4039,463,161,316,961,160
2024-07-09,Image,Tutorial,#MakeupGoals,Inspired,Organic,6788,5249,1040,141,103,83,200,82
2025-01-04,Story,Festive Offer,"#MakeupGoals, #SugarCosmetics, #CrueltyFree",Curious,Organic,3336,2040,334,54,29,15,87,12
2024-07-31,Story,Festive Offer,#SugarCosmetics,Happy,Paid,7371,5601,956,119,56,56,147,60
2025-01-16,Reel,Product Launch,"#BoldLooks, #SugarCosmetics",Happy,Collab,49538,40839,7709,1013,251,367,705,326
2025-04-17,Reel,Product Launch,#SugarCosmetics,Confident,Influencer,11789,8011,1079,100,70,100,124,17
2025-01-09,Image,Festive Offer,"#MakeupGoals, #VeganBeauty",Inspired,Paid,16328,9900,2221,421,135,168,464,177
2024-12-26,Story,Product Launch,"#BoldLooks, #SugarCosmetics, #MakeupGoals",Happy,Organic,28632,22954,3933,446,300,372,1079,302
2024-05-16,Video,Influencer Collab,"#VeganBeauty, #MakeupGoals, #SugarCosmetics",Curious,Influencer,12053,8226,683,53,58,31,184,35
2024-12-11,Video,Giveaway,"#SugarCosmetics, #VeganBeauty, #MakeupGoals",Happy,Influencer,3708,2717,540,43,43,36,39,10
2024-12-21,Image,Giveaway,"#VeganBeauty, #CrueltyFree, #BoldLooks",Confident,Organic,35393,32630,3891,397,297,218,619,173
2024-06-24,Video,Giveaway,#BoldLooks,Confident,Organic,14490,9952,1647,123,21,73,410,86
2024-11-12,Reel,Influencer Collab,#BoldLooks,Curious,Influencer,20097,12150,2219,170,214,70,323,43
2025-01-27,Video,Giveaway,#BoldLooks,Curious,Organic,10916,7254,797,76,36,43,304,72
2024-07-23,Video,Tutorial,#MakeupGoals,Excited,Collab,3717,2478,142,17,8,3,101,28
2024-06-21,Image,Tutorial,"#VeganBeauty, #MakeupGoals",Excited,Collab,29865,23505,3436,427,271,97,549,71
2024-10-15,Reel,Influencer Collab,#BoldLooks,Inspired,Collab,49770,36364,3787,555,177,83,590,227
2024-09-13,Story,Influencer Collab,"#VeganBeauty, #MakeupGoals",Curious,Influencer,16708,12410,1989,175,54,120,419,98
2024-08-02,Video,Festive Offer,#SugarCosmetics,Happy,Collab,4300,2848,514,44,9,20,110,48
2025-04-13,Story,Tutorial,"#VeganBeauty, #CrueltyFree",Confident,Influencer,19922,18665,4458,317,207,204,251,88
2024-12-23,Image,Festive Offer,"#CrueltyFree, #SugarCosmetics, #MakeupGoals",Excited,Paid,17032,11458,633,48,39,34,523,223
2025-01-11,Image,Tutorial,"#CrueltyFree, #SugarCosmetics",Inspired,Influencer,23419,16804,3613,377,47,312,400,163
2024-11-21,Reel,Tutorial,"#MakeupGoals, #SugarCosmetics, #CrueltyFree",Curious,Collab,46960,35344,3848,739,302,120,1581,466
2024-07-13,Story,Product Launch,"#BoldLooks, #SugarCosmetics",Happy,Influencer,25557,19547,1689,207,94,133,741,193
2025-01-10,Reel,Festive Offer,"#CrueltyFree, #SugarCosmetics",Happy,Organic,24752,16058,3484,688,199,117,335,35
2024-08-23,Image,Influencer Collab,"#SugarCosmetics, #CrueltyFree",Happy,Collab,32889,25830,5502,686,88,288,772,299
2025-03-12,Image,Influencer Collab,#MakeupGoals,Happy,Paid,49756,30045,2324,429,206,157,1022,374
2025-02-11,Image,Festive Offer,"#VeganBeauty, #CrueltyFree",Confident,Paid,9646,7723,1680,185,133,90,186,89
2025-02-14,Story,Tutorial,"#BoldLooks, #MakeupGoals, #SugarCosmetics",Excited,Paid,20250,12790,2611,157,222,143,596,231
2024-05-10,Reel,Product Launch,"#VeganBeauty, #CrueltyFree, #BoldLooks",Curious,Paid,32463,25913,3762,562,354,295,481,54
2024-07-17,Reel,Tutorial,#BoldLooks,Excited,Organic,49275,32359,7064,1250,677,228,1130,327
2025-03-04,Reel,Influencer Collab,"#CrueltyFree, #VeganBeauty",Happy,Organic,35888,22476,4397,546,316,240,446,190
2024-05-01,Reel,Tutorial,#BoldLooks,Curious,Organic,35020,21040,5124,260,98,231,889,431
2025-02-25,Video,Giveaway,"#BoldLooks, #MakeupGoals, #VeganBeauty",Excited,Paid,22520,21001,2923,227,171,262,825,348
2024-08-19,Video,Tutorial,#SugarCosmetics,Inspired,Organic,2750,2346,416,81,37,29,88,10
2024-09-22,Image,Festive Offer,#VeganBeauty,Happy,Collab,47617,29227,5585,1054,146,365,1362,154
2024-08-01,Image,Festive Offer,#MakeupGoals,Inspired,Influencer,9820,8404,743,49,35,62,334,40
2024-05-14,Video,Influencer Collab,#MakeupGoals,Inspired,Influencer,20426,14536,3136,174,199,120,215,28
2024-07-10,Video,Festive Offer,"#VeganBeauty, #MakeupGoals",Excited,Organic,30866,22191,4326,258,166,273,923,209
2025-04-08,Reel,Influencer Collab,#VeganBeauty,Excited,Influencer,28345,22167,3000,544,142,170,1099,110
2024-11-25,Video,Giveaway,#SugarCosmetics,Confident,Influencer,10996,8633,2053,348,204,98,351,91
2025-03-25,Video,Festive Offer,#BoldLooks,Confident,Organic,9436,7246,1203,109,55,32,169,52
2025-01-23,Story,Product Launch,"#SugarCosmetics, #BoldLooks",Excited,Influencer,11816,8077,582,60,20,25,156,18
2024-08-19,Video,Influencer Collab,"#BoldLooks, #MakeupGoals",Confident,Collab,26280,24141,1424,94,64,42,1164,487
2024-07-10,Image,Festive Offer,"#MakeupGoals, #BoldLooks, #CrueltyFree",Excited,Collab,46028,29057,3879,705,368,222,1003,167
2024-12-29,Story,Influencer Collab,"#CrueltyFree, #SugarCosmetics",Confident,Influencer,15899,9901,1290,226,39,111,146,17
2024-10-30,Reel,Influencer Collab,"#MakeupGoals, #BoldLooks",Happy,Collab,18320,12187,2509,257,38,244,552,260
2024-09-19,Video,Giveaway,"#MakeupGoals, #CrueltyFree, #VeganBeauty",Inspired,Influencer,19297,15124,1543,196,83,153,694,198
2025-03-28,Story,Festive Offer,"#SugarCosmetics, #MakeupGoals",Confident,Influencer,8287,7141,406,74,35,22,183,38
2025-04-09,Video,Giveaway,#SugarCosmetics,Happy,Paid,33284,30323,7311,1311,605,529,971,130
2024-12-24,Image,Festive Offer,#BoldLooks,Curious,Collab,26559,18283,932,143,13,58,886,127
2024-10-14,Video,Tutorial,"#CrueltyFree, #SugarCosmetics",Confident,Paid,42755,26792,5900,733,314,397,1151,275
2024-06-13,Image,Product Launch,"#CrueltyFree, #BoldLooks",Excited,Collab,31561,24943,5559,889,316,497,494,80
2024-07-31,Story,Festive Offer,"#SugarCosmetics, #VeganBeauty",Curious,Paid,19088,13684,1337,253,26,101,240,108
2024-06-12,Story,Influencer Collab,"#BoldLooks, #SugarCosmetics",Confident,Influencer,10017,7642,1725,87,144,66,354,35
2024-07-23,Reel,Giveaway,"#BoldLooks, #MakeupGoals",Excited,Influencer,49845,43107,4385,346,77,202,1396,204
2025-02-02,Reel,Tutorial,"#VeganBeauty, #BoldLooks",Confident,Collab,8009,6582,1039,173,20,84,208,100
2024-11-23,Video,Giveaway,"#BoldLooks, #MakeupGoals",Inspired,Collab,2435,2000,472,30,44,35,25,5
2024-11-14,Image,Giveaway,#MakeupGoals,Curious,Influencer,15859,9889,1645,167,108,38,443,216
2024-07-30,Story,Product Launch,#SugarCosmetics,Inspired,Paid,25860,19552,3509,488,156,88,838,208
2025-02-03,Story,Influencer Collab,"#MakeupGoals, #SugarCosmetics",Confident,Organic,28570,19666,987,72,51,94,277,122
2024-12-02,Reel,Influencer Collab,#SugarCosmetics,Excited,Collab,4342,3813,719,59,12,53,137,28
2024-10-02,Reel,Giveaway,"#SugarCosmetics, #VeganBeauty, #CrueltyFree",Inspired,Organic,45413,29648,4045,774,193,287,767,160
2025-04-02,Reel,Giveaway,"#VeganBeauty, #MakeupGoals, #BoldLooks",Happy,Paid,6626,4924,1126,95,32,25,177,43
2024-12-01,Video,Influencer Collab,"#BoldLooks, #MakeupGoals",Excited,Collab,39158,29957,4752,351,134,129,483,135
2024-09-21,Reel,Product Launch,#VeganBeauty,Confident,Organic,21017,18208,3190,222,41,298,631,264
2024-09-06,Story,Product Launch,"#SugarCosmetics, #VeganBeauty",Happy,Collab,4224,2536,430,60,13,27,48,7
2024-07-13,Video,Product Launch,#MakeupGoals,Happy,Paid,6109,4362,733,84,72,23,124,46
2024-06-11,Video,Festive Offer,"#MakeupGoals, #BoldLooks, #VeganBeauty",Curious,Organic,30009,23046,3917,367,284,347,949,109
2024-11-03,Reel,Product Launch,"#VeganBeauty, #SugarCosmetics",Inspired,Collab,33981,29298,2319,151,142,49,858,157
2024-10-27,Story,Influencer Collab,"#BoldLooks, #VeganBeauty, #MakeupGoals",Confident,Collab,36488,29039,1508,149,85,40,697,78
2024-05-24,Story,Festive Offer,#CrueltyFree,Confident,Organic,48219,34969,4001,786,112,301,1498,174
2025-02-06,Image,Influencer Collab,"#MakeupGoals, #VeganBeauty",Confident,Organic,26003,16553,2934,457,37,278,199,62
2024-05-07,Story,Product Launch,#MakeupGoals,Inspired,Influencer,26291,23789,4586,780,185,390,314,143
2025-03-19,Image,Festive Offer,"#BoldLooks, #VeganBeauty, #CrueltyFree",Happy,Paid,1899,1536,317,38,4,10,42,16
2024-05-31,Image,Product Launch,"#VeganBeauty, #CrueltyFree",Curious,Influencer,8179,5614,459,82,13,45,131,22
2024-06-17,Video,Product Launch,"#CrueltyFree, #BoldLooks",Curious,Influencer,45662,34327,2016,149,23,145,799,253
2024-12-18,Reel,Influencer Collab,"#CrueltyFree, #MakeupGoals, #SugarCosmetics",Confident,Paid,26658,22062,1983,301,32,44,448,127
2024-06-20,Story,Giveaway,#CrueltyFree,Confident,Paid,8005,7494,998,176,66,78,305,92
2025-02-20,Story,Influencer Collab,"#BoldLooks, #CrueltyFree",Happy,Organic,49689,44892,7440,861,560,438,2017,928
2025-01-08,Reel,Product Launch,"#SugarCosmetics, #BoldLooks, #CrueltyFree",Inspired,Organic,46350,32300,5441,1016,157,379,1138,447
2024-09-30,Video,Product Launch,"#VeganBeauty, #SugarCosmetics",Excited,Organic,28490,24831,3254,456,217,162,757,200
2024-12-06,Image,Tutorial,"#MakeupGoals, #SugarCosmetics",Inspired,Influencer,45965,35498,3530,637,176,215,865,291
2024-05-13,Image,Influencer Collab,"#CrueltyFree, #VeganBeauty",Confident,Collab,46893,38838,4366,479,380,90,1302,442
2024-09-15,Reel,Festive Offer,#SugarCosmetics,Excited,Paid,33419,31395,4419,377,73,148,966,226
2024-09-14,Video,Giveaway,#MakeupGoals,Happy,Organic,46917,30543,4272,590,407,171,744,187
2024-12-06,Image,Tutorial,#SugarCosmetics,Excited,Organic,36946,31690,5791,701,497,489,1058,473
2024-10-17,Reel,Festive Offer,"#BoldLooks, #VeganBeauty, #CrueltyFree",Excited,Collab,1619,1277,72,14,1,2,15,5
2024-11-10,Video,Influencer Collab,"#VeganBeauty, #SugarCosmetics, #CrueltyFree",Confident,Influencer,2058,1560,369,35,20,8,24,11
2024-07-25,Story,Influencer Collab,"#SugarCosmetics, #VeganBeauty, #BoldLooks",Inspired,Organic,2239,1880,100,9,9,6,37,11
2024-11-20,Image,Giveaway,#VeganBeauty,Confident,Influencer,10110,8425,656,35,24,50,152,56
2025-03-19,Story,Influencer Collab,"#SugarCosmetics, #VeganBeauty, #MakeupGoals",Confident,Collab,11225,7474,1466,107,45,142,151,55
2024-04-23,Story,Product Launch,#BoldLooks,Happy,Paid,39006,36299,6775,844,444,606,1191,133
2025-01-08,Story,Giveaway,"#CrueltyFree, #BoldLooks",Curious,Collab,43823,38495,8997,1260,851,775,1411,466
2025-01-24,Video,Giveaway,"#BoldLooks, #CrueltyFree",Inspired,Organic,9125,7575,1892,108,185,99,339,139
2024-06-02,Image,Festive Offer,#SugarCosmetics,Excited,Paid,20614,17696,3994,441,157,293,748,302
2025-01-08,Story,Festive Offer,"#SugarCosmetics, #VeganBeauty",Curious,Influencer,34768,24720,5531,588,203,397,571,201
2025-03-28,Reel,Influencer Collab,"#SugarCosmetics, #VeganBeauty, #MakeupGoals",Confident,Organic,38574,30751,3877,512,246,246,854,90
2024-11-13,Image,Product Launch,"#CrueltyFree, #BoldLooks",Happy,Influencer,45298,36746,6748,964,348,339,1636,503
2025-02-04,Image,Giveaway,"#MakeupGoals, #VeganBeauty",Confident,Collab,44461,40903,8702,577,203,540,811,235
2024-07-31,Video,Product Launch,"#CrueltyFree, #SugarCosmetics, #MakeupGoals",Confident,Influencer,9234,8012,1703,268,163,36,142,14
2025-02-11,Video,Festive Offer,"#VeganBeauty, #MakeupGoals",Inspired,Organic,28764,26299,2595,490,40,245,632,88
2024-12-24,Video,Influencer Collab,#BoldLooks,Excited,Paid,7012,5722,884,133,82,55,190,25
2024-08-29,Image,Influencer Collab,#MakeupGoals,Inspired,Paid,43641,32292,7922,1374,451,236,1433,601
2024-06-01,Image,Tutorial,#BoldLooks,Inspired,Influencer,4654,3273,683,53,63,36,44,18
2024-08-11,Reel,Giveaway,"#VeganBeauty, #BoldLooks",Inspired,Influencer,22675,13949,2463,474,157,210,632,120
2024-10-05,Image,Influencer Collab,"#CrueltyFree, #VeganBeauty",Inspired,Organic,38384,31717,2694,280,246,219,1023,206
2024-06-19,Video,Influencer Collab,"#VeganBeauty, #CrueltyFree, #MakeupGoals",Excited,Paid,46105,39474,8693,1310,720,707,631,170
2024-10-12,Story,Product Launch,#MakeupGoals,Confident,Organic,27160,23300,5185,427,96,113,831,284
2024-04-20,Reel,Festive Offer,"#SugarCosmetics, #CrueltyFree, #VeganBeauty",Confident,Organic,24711,20344,2062,298,31,64,426,144
2025-01-24,Reel,Festive Offer,#BoldLooks,Happy,Collab,29482,22257,3097,491,35,146,951,324
2025-03-25,Image,Festive Offer,"#SugarCosmetics, #MakeupGoals",Curious,Collab,34893,27999,2935,181,51,268,494,113
2025-01-23,Video,Tutorial,"#SugarCosmetics, #VeganBeauty",Confident,Paid,11106,7999,1387,161,117,102,102,36
2024-07-30,Story,Influencer Collab,"#BoldLooks, #MakeupGoals, #VeganBeauty",Confident,Influencer,35503,29389,4602,453,183,338,1462,533
2024-10-30,Story,Giveaway,"#SugarCosmetics, #CrueltyFree",Inspired,Paid,10686,8151,505,67,48,17,306,55
2025-02-09,Video,Giveaway,#VeganBeauty,Excited,Organic,1207,897,120,20,1,5,44,12
2024-06-27,Image,Giveaway,#VeganBeauty,Curious,Organic,16901,11528,1497,109,148,140,364,159
2024-11-02,Reel,Influencer Collab,"#CrueltyFree, #SugarCosmetics, #MakeupGoals",Happy,Collab,33916,21452,2175,365,191,149,649,106
2025-04-08,Image,Tutorial,"#SugarCosmetics, #VeganBeauty, #BoldLooks",Curious,Paid,17163,12118,1243,129,22,118,389,86
2024-05-30,Video,Festive Offer,"#CrueltyFree, #SugarCosmetics",Happy,Paid,39067,27264,6501,1176,159,538,899,293
2025-03-23,Image,Influencer Collab,"#BoldLooks, #SugarCosmetics, #CrueltyFree",Excited,Influencer,25819,17375,4102,276,342,206,783,350
2024-12-18,Video,Giveaway,#VeganBeauty,Inspired,Paid,9325,6056,559,96,21,12,97,18
